datetime,crop_id,soil_type,seedling_stage,moi,temp,humidity,result
2023-01-01 00:00:00,Wheat,Black Soil,Germination,1,25,80.0,1
2023-01-01 01:00:00,Wheat,Black Soil,Germination,2,26,77.0,1
2023-01-01 02:00:00,Wheat,Black Soil,Germination,3,27,74.0,1
2023-01-01 03:00:00,Wheat,Black Soil,Germination,4,28,71.0,1
2023-01-01 04:00:00,Wheat,Black Soil,Germination,5,29,68.0,1
2023-01-01 05:00:00,Wheat,Black Soil,Germination,6,30,65.0,1
2023-01-01 06:00:00,Wheat,Black Soil,Germination,7,31,62.0,1
2023-01-01 07:00:00,Wheat,Black Soil,Germination,8,32,59.0,1
2023-01-01 08:00:00,Wheat,Black Soil,Germination,9,33,56.0,1
2023-01-01 09:00:00,Wheat,Black Soil,Germination,10,34,53.0,1
2023-01-01 10:00:00,Wheat,Black Soil,Germination,11,35,50.0,1
2023-01-01 11:00:00,Wheat,Black Soil,Germination,12,36,47.0,1
2023-01-01 12:00:00,Wheat,Black Soil,Germination,13,37,44.0,1
2023-01-01 13:00:00,Wheat,Black Soil,Germination,14,38,41.0,1
2023-01-01 14:00:00,Wheat,Black Soil,Germination,15,39,38.0,1
2023-01-01 15:00:00,Wheat,Black Soil,Germination,16,40,35.0,1
2023-01-01 16:00:00,Wheat,Black Soil,Germination,17,41,32.0,1
2023-01-01 17:00:00,Wheat,Black Soil,Germination,18,42,29.0,1
2023-01-01 18:00:00,Wheat,Black Soil,Germination,19,43,26.0,1
2023-01-01 19:00:00,Wheat,Black Soil,Germination,20,44,23.0,1
2023-01-01 20:00:00,Wheat,Black Soil,Germination,21,45,20.0,1
2023-01-01 21:00:00,Wheat,Black Soil,Germination,22,46,17.0,1
2023-01-01 22:00:00,Wheat,Black Soil,Germination,23,25,80.0,1
2023-01-01 23:00:00,Wheat,Black Soil,Germination,24,26,77.5,1
2023-01-02 00:00:00,Wheat,Black Soil,Germination,25,27,75.0,1
2023-01-02 01:00:00,Wheat,Black Soil,Germination,26,28,72.5,1
2023-01-02 02:00:00,Wheat,Black Soil,Germination,27,29,70.0,1
2023-01-02 03:00:00,Wheat,Black Soil,Germination,28,30,67.5,1
2023-01-02 04:00:00,Wheat,Black Soil,Germination,29,31,65.0,1
2023-01-02 05:00:00,Wheat,Black Soil,Germination,30,32,62.5,1
2023-01-02 06:00:00,Wheat,Black Soil,Germination,31,33,60.0,2
2023-01-02 07:00:00,Wheat,Black Soil,Germination,32,34,57.5,2
2023-01-02 08:00:00,Wheat,Black Soil,Germination,33,35,55.0,2
2023-01-02 09:00:00,Wheat,Black Soil,Germination,34,36,52.5,2
2023-01-02 10:00:00,Wheat,Black Soil,Germination,35,37,50.0,2
2023-01-02 11:00:00,Wheat,Black Soil,Germination,36,38,47.5,2
2023-01-02 12:00:00,Wheat,Black Soil,Germination,37,39,45.0,2
2023-01-02 13:00:00,Wheat,Black Soil,Germination,38,40,42.5,2
2023-01-02 14:00:00,Wheat,Black Soil,Germination,39,41,40.0,2
2023-01-02 15:00:00,Wheat,Black Soil,Germination,40,42,37.5,2
2023-01-02 16:00:00,Wheat,Black Soil,Germination,41,43,35.0,0
2023-01-02 17:00:00,Wheat,Black Soil,Germination,42,44,32.5,0
2023-01-02 18:00:00,Wheat,Black Soil,Germination,43,45,30.0,0
2023-01-02 19:00:00,Wheat,Black Soil,Germination,44,46,27.5,0
2023-01-02 20:00:00,Wheat,Black Soil,Germination,45,25,80.0,0
2023-01-02 21:00:00,Wheat,Black Soil,Germination,46,26,77.3,0
2023-01-02 22:00:00,Wheat,Black Soil,Germination,47,27,74.6,0
2023-01-02 23:00:00,Wheat,Black Soil,Germination,48,28,71.9,0
2023-01-03 00:00:00,Wheat,Black Soil,Germination,49,29,69.2,0
2023-01-03 01:00:00,Wheat,Black Soil,Germination,50,30,66.5,0
2023-01-03 02:00:00,Wheat,Black Soil,Germination,51,31,63.8,0
2023-01-03 03:00:00,Wheat,Black Soil,Germination,52,32,61.1,0
2023-01-03 04:00:00,Wheat,Black Soil,Germination,53,33,58.4,0
2023-01-03 05:00:00,Wheat,Black Soil,Germination,54,34,55.7,0
2023-01-03 06:00:00,Wheat,Black Soil,Germination,55,35,53.0,0
2023-01-03 07:00:00,Wheat,Black Soil,Germination,56,36,50.3,0
2023-01-03 08:00:00,Wheat,Black Soil,Germination,57,37,47.6,0
2023-01-03 09:00:00,Wheat,Black Soil,Germination,58,38,44.9,0
2023-01-03 10:00:00,Wheat,Black Soil,Germination,59,39,42.2,0
2023-01-03 11:00:00,Wheat,Black Soil,Germination,60,40,39.5,0
2023-01-03 12:00:00,Wheat,Black Soil,Germination,61,41,36.8,0
2023-01-03 13:00:00,Wheat,Black Soil,Germination,62,42,34.1,0
2023-01-03 14:00:00,Wheat,Black Soil,Germination,63,43,31.4,0
2023-01-03 15:00:00,Wheat,Black Soil,Germination,64,44,28.7,0
2023-01-03 16:00:00,Wheat,Black Soil,Germination,65,45,26.0,0
2023-01-03 17:00:00,Wheat,Black Soil,Germination,66,46,23.3,0
2023-01-03 18:00:00,Wheat,Black Soil,Germination,67,25,80.0,0
2023-01-03 19:00:00,Wheat,Black Soil,Germination,68,26,78.0,0
2023-01-03 20:00:00,Wheat,Black Soil,Germination,69,27,76.0,0
2023-01-03 21:00:00,Wheat,Black Soil,Germination,70,28,74.0,0
2023-01-03 22:00:00,Wheat,Black Soil,Germination,71,29,72.0,0
2023-01-03 23:00:00,Wheat,Black Soil,Germination,72,30,70.0,0
2023-01-04 00:00:00,Wheat,Black Soil,Germination,73,31,68.0,0
2023-01-04 01:00:00,Wheat,Black Soil,Germination,74,32,66.0,0
2023-01-04 02:00:00,Wheat,Black Soil,Germination,75,33,64.0,0
2023-01-04 03:00:00,Wheat,Black Soil,Germination,76,34,62.0,0
2023-01-04 04:00:00,Wheat,Black Soil,Germination,77,35,60.0,0
2023-01-04 05:00:00,Wheat,Black Soil,Germination,78,36,58.0,0
2023-01-04 06:00:00,Wheat,Black Soil,Germination,79,37,56.0,0
2023-01-04 07:00:00,Wheat,Black Soil,Germination,80,38,54.0,0
2023-01-04 08:00:00,Wheat,Black Soil,Germination,81,39,52.0,0
2023-01-04 09:00:00,Wheat,Black Soil,Germination,82,40,50.0,0
